1	3	1
1	5	1
1	11	1
1	71	1
1	156	1
1	196	1
2	4	1
2	6	1
2	12	1
2	43	1
2	169	1
2	177	1
2	197	1
3	4	1
3	79	1
3	80	1
3	110	1
3	122	1
4	53	1
4	70	1
4	80	1
4	110	1
4	111	1
4	123	1
5	19	1
5	42	1
5	73	1
6	18	1
6	38	1
6	43	1
6	63	1
6	72	1
6	74	1
6	157	1
6	175	1
7	52	1
7	83	1
7	208	1
8	12	1
8	64	1
8	76	1
9	17	1
9	39	1
9	71	1
10	16	1
10	39	1
10	72	1
11	7	1
11	14	1
11	17	1
11	19	1
11	38	1
11	39	1
11	40	1
11	42	1
11	48	1
11	75	1
11	112	1
11	158	1
12	8	1
12	15	1
12	20	1
12	39	1
12	41	1
12	43	1
12	45	1
12	49	1
12	75	1
12	76	1
12	159	1
13	1	1
13	7	1
13	8	1
13	12	1
13	19	1
13	20	1
13	38	1
13	39	1
13	41	1
13	43	1
13	49	1
13	73	1
13	75	1
13	76	1
13	108	1
13	109	1
13	110	1
13	111	1
13	113	1
13	166	1
13	195	1
13	196	1
13	201	1
13	207	1
13	248	1
14	11	1
14	48	1
15	49	1
17	9	1
17	40	1
18	6	1
18	10	1
18	38	1
18	39	1
18	51	1
18	72	1
18	76	1
19	5	1
19	11	1
19	44	1
19	71	1
19	73	1
19	107	1
19	112	1
19	113	1
19	173	1
19	175	1
19	180	1
20	6	1
20	12	1
20	18	1
20	72	1
20	74	1
20	112	1
20	113	1
20	173	1
20	174	1
20	175	1
20	180	1
21	7	1
22	14	1
22	171	1
22	196	1
22	207	1
23	80	1
24	173	1
24	196	1
25	174	1
25	197	1
26	64	1
26	107	1
26	150	1
26	156	1
26	157	1
26	180	1
27	52	1
27	53	1
27	54	1
27	55	1
27	56	1
27	57	1
27	58	1
27	59	1
27	69	1
27	94	1
27	149	1
27	150	1
28	52	1
28	53	1
28	54	1
28	55	1
28	56	1
28	57	1
28	100	1
29	52	1
29	53	1
29	56	1
29	57	1
29	100	1
29	239	1
30	52	1
30	53	1
30	58	1
30	59	1
30	94	1
30	149	1
30	150	1
31	52	1
31	53	1
31	54	1
31	55	1
31	58	1
31	59	1
31	95	1
31	270	1
31	271	1
32	52	1
